,first_name,last_name,time,age,gender
0,DANIEL,PREDMORE,45:19,26,M
1,THOMAS,DALTON,46:08,26,M
2,BARRY,BROWN,46:21,40,M
3,RICHARD,COUGHLIN,47:37,24,M
4,DENNIS,NORTHRUP,48:13,26,M
5,DALE,KEENAN,48:14,34,M
6,DAVID,COYNE,48:54,33,M
7,DAVID,DANIELS,48:56,28,M
8,J.,R.,49:14,22,M
9,CHRIS,BUCKLEY,49:37,23,M
10,PETE,FARNELL,49:47,33,M
11,PATRICK,GLOVER,49:55,38,M
12,ZEN,SHATH'L,49:57,21,M
13,KEVIN,WILLIAMS,49:57,26,M
14,TONY,FARQUHAR,50:01,29,M
15,KEVIN,LA,50:23,24,M
16,BILL,ROBINSON,50:26,38,M
17,THOMAS,GREENE,50:38,27,M
18,FRANK,RIPPLE,50:43,36,M
19,JOSEPH,CURTIN,50:56,20,M
20,DANIEL,PAXSON,50:59,22,M
21,GARY,DILMORE,51:01,23,M
22,KEVIN,SCHEUER,51:06,26,M
23,KEVIN,BARRETT,51:10,32,M
24,CHARLES,PARMALEE,51:13,40,M
25,BILL,FULLER,51:19,45,M
26,MICHAEL,PAVOL,51:23,21,M
27,TONY,TREFFILETT1,51:28,31,M
28,JOHN,DEMERS,51:36,24,M
29,DENNIS,CONTOIS,51:42,23,M
30,GUY,GEORGE,51:52,25,M
31,ROBERT,COLANTUONO,52:07,32,M
32,DANIEL,TALLON,52:13,29,M
33,BRUCE,HAMILTON,52:28,0,M
34,STEVE,DELESKIEWICZ,52:29,26,M
35,JIM,ZEPKA,52:35,27,M
36,CAL,HARDIE,52:38,27,M
37,TIM,LAYDEN,52:39,28,M
38,KEVIN,MANGHAN,52:40,26,M
39,JAMES,MATHEW,52:40,26,M
40,MARK,KULZER,52:44,23,M
41,VINCENT,O`BRIEN,52:46,19,M
42,ROB,PICOTTE,52:51,31,M
43,KEVIN,COUGHLIN,52:51,34,M
44,KENNETH,MARTIN,52:54,21,M
45,TIMOTHY,J.,53:06,26,M
46,ROBERT,LA,53:07,25,M
47,BOB,COLL,53:11,23,M
48,TOM,BOURGEOIS,53:15,28,M
49,EDWARD,SCHROEDER,53:17,28,M
50,DOUG,IRONS,53:20,29,M
51,JAMES,LOUISON,53:21,30,M
52,I0,ROBERT,53:30,30,M
53,DAVID,KIRCHER,53:31,33,M
54,STEPHEN,KASHYNSKI,53:35,20,M
55,TOM,GARDNER,53:44,36,M
56,JAMES,CLARKIN,53:55,23,M
57,KENNETH,KLAPP,53:59,34,M
58,EVERETT,MURRAY,54:01,33,M
59,TIMOTHY,MALANEY,54:01,27,M
60,KEN,RODBELL,54:07,24,M
61,BOB,FANCHER,54:08,23,M
62,MIKE,BRINKMAN,54:09,30,M
63,BRUCE,MORRISON,54:12,37,M
64,DON,BEEVERS,54:13,37,M
65,CHARLIE,PICKETT,54:44,36,M
66,ROBERT,DION,54:17,29,M
67,R.,JEFFREY,54:20,29,M
68,JAMES,P.,54:24,24,M
69,RON,HAYES,54:27,17,M
70,DAVID,SCHROEDER,54:33,36,M
71,PAUL,MURRAY,54:35,40,M
72,BOB,MURPHY,54:50,44,M
73,MARC,CRAW,54:52,20,M
74,ERIC,VANZANDT,54:57,17,M
75,RONALD,BAGNOLI,55:03,37,M
76,MARK,PELLETIER,55:04,28,M
77,PETER,GERARDI,55:05,33,M
78,HOWARD,RUBIN,55:11,56,M
79,MEL,LEVINSON,55:16,44,M
80,LEE,WILCOX,55:20,46,M
81,DON,POWERS,55:26,28,M
82,GENE,O,55:29,25,M
83,FRANK,MALCZYK,55:31,27,M
84,JACK,CONNOR,55:35,25,M
85,JOHN,SHANNON,55:36,24,M
