1991 Stockade-athon


Men's Results

191 Sean Lynch, 15 61.12
192 Timothy Keegan, 39 61.14
193 Robert Stockton, 44 61.16
194 Paul Skudder, 38 61.16
195 James Tierney, 57 61.19
196 Patrick Charles, 45 61.23
197 Gregg Schnell, 34 61.26
198 Hans Blomer, 32 61.30
199 Justin Bishop, 16 61.31
200 John Banevicius, 33 61.33
201 Owen Barber, 53 61.35
202 Martin Alperin, 20 61.36
203 John Vannie, 40 61.39
204 Allan Steinhauer, 42 61.41
205 John Stewart, 35 61.42
206 Patrick Colclough, 22 61.44
207 Michael McLean, 34 61.47
208 Richard Savage, 49 61.53
209 Larry Lewis, 37 61.55
210 Robert Stewart, 39 61.56
211 Mark Mindel, 39 61.58
212 George Anker Jr., 46 62.00
213 Rufus Frazier, 16 62.02
214 Bill Hobbs, 48 62.03
215 Brian Wilson, 39 62.05
216 Ted Cirillo, 31 62.10
217 Bernard Couture, 24 62.11
218 Scott Philipp, 15 62.12
219 Scott Suba, 28 62.13
220 Christopher Phillips, 17 62.15
221 Jacob VanNess, 14 62.21
222 John Kyne, 40 62.21
223 James Moore, 52 62.24
224 Adam Croshier, 21 62.27
225 Robert Bachorik, 47 62.31
226 Atthur Stegen, 45 62.34
227 Dan French, 46 62.35
228 Robert LaPorte, 38 62.35
229 Butch Christian, 46 62.36
230 Christopher Cueman, 16 62.36
231 Jon Pipas, 14 62.37
232 Tony Gillespie, 38 62.43
233 Keith Martens, 36 62.48
234 Robert Lazaron, 38 62.50
235 Robert Gauvreau, 61 62.51
236 Donnelly Whitehead, 46 62.52
237 Thomas Danielsen, 43 62.58
238 Daniel McGough, 36 63.03
239 Michael Boss, 40 63.03
240 Fred Thompson, 50 63.11
241 John Zalinka, 40 63.13
242 Bryan Carnahan, 16 63.14
243 Christopher O’Hara, 24 63.17
244 Winston Taylor, 52 63.19
245 Erie Daniels, 46 63.20
246 Douglas Karam, 32 63.27
247 Peter Brady, 45 63.30
248 David Barringer, 30 63.32
249 Ian Brennan, 16 63.36
250 Steven Schonwetter, 37 63.36
251 William Austin, 15 63.38
252 Christopher Harrison, 15 63.39
253 Paul McPherson, 45 63.39
254 Jeffrey Benoit, 27 63.47
255 Wayne Finger, 31 63.47
256 Jeff Flora, 32 63.49
257 John Pendergrass, 41 63.49
258 Tom Corrado, 46 63.52
259 Larry Navatka, 34 63.53
260 Fred Deerfield, 17 63.53
261 Michael Rielly, 16 63.53
262 Terrence Moag, 28 63.58
263 Steven Berg, 27 64.04
264 Timothy Mousaw, 15 64.05
265 John Dahlem, 26 64.06
266 Douglas Brownell, 39 64.07
267 Thomas Mason, 31 64.14
268 Arthur Dashnaw Jr., 44 64.16
269 Donald Wilken, 53 64.17
270 Bob Mastro, 41 64.17
271 Jon Leach, 39 64.22
272 Kenneth Morgan, 17 64.22
273 Roland Kullmann, 47 64.23
274 Edward Prevost, 46 64.25
275 Jay Brundage, 54 64.29
276 Bob Johnson. 34 64.30
277 John Haley, 36 64.31
278 Louis Raffaele, 33 64.31
279 John Kaelin, 36 64.31
280 Gene Oriowski Jr., 43 64.35
281 Ronald Baars, 16 64.39
282 Thomas Clash, 47 64.42
283 Stefan Mash, 17 64.44
284 Lincoln Page, 46 64.46
285 Jean Audet, 37 64.48
286 Paul Kuta, 44 64.49
287 John Postulka, 43 64.49
288 Steve Morse, 28 64.50
289 Steven Johnson, 40 64.52
290 Paul Pelagalli, 38 64.55
291 Mike Doody, 38 64.56
292 Bob Kopp, 37 64.59
293 Curtis Simmers, 38 65.00
294 Harold Sperazza, 33 65.00
295 John Finocan, 43 65.01
296 Noel Adams, 16 65.04
297 Kevin Creagan, 26 65.05
298 Geoffrey Moore, 34 65.08
299 John Roche, 38 65.09
300 Rene Grosser, 39 65.11
301 Peter Lavin, 16 65.14
302 Albert Powers, 15 65.14
303 James Buckley, 49 65.15
304 Brian Buchanan, 27 65.20
305 Ralph Ranellone, 40 65.25
306 Art McDonald, 44 65.26
307 Jeff Teats, 36 65.31
308 Bruce Marsh, 57 65.34
309 Ray Lee Jr., 49 65.36
310 John LaBoda, 47 65.40
311 Tom Apple, 37 65.43
312 Gary Capella, 34 65.45
313 Morris Morgan, 41 65.45
314 Chris DressIer, 38 65.48
315 Paul Reali, 29 65.51
316 Jeremy Mason, 15 65.51
317 George Lanham, 49 65.52
318 Eric Brambani, 29 65.56
319 Neal Green, 27 65.58
320 Bill Wootton, 46 66.00
321 Christopher Hatter, 32 66.01
322 David Mousaw, 46 66.01
323 Peter Skinner, 44 66.10
324 Dave Munro, 40 66.10
325 Bob Warner, 61 66.13
326 Richard Sleasman, 34 66.14
327 Clifford Hayes, 53 66.20
328 Mark Walsh, 28 66.30
329 Emory Coe, 36 66.31
330 Carl Thorne, 46 66.32
331 Nathan Hayes, 34 66.34
332 Eric Lewis, 25 66.37
333 Larry Catallo, 37 66.38
334 Ron Beaudoin, 31 66.44
335 Tim Hooley, 44 66.44
336 Mike Comisky, 34 66.45
337 Larry Morrison, 50 66.47
338 Alan Maddaus, 46 66.52
339 James May, 37 66.53
340 Joseph Miranda, 43 66.55
341 Stephen Obermayer, 30 66.55
342 Andrew Carey, 33 66.57
343 Lawrence Fisher, 58 66.58
344 Patrick Mousaw, 15 66.58
345 Richard Warnke, 47 67.02
346 Pete Cowie, 43 67.03
347 James Schoepfer, 35 67.04
348 Terry Langlois, 32 67.05
349 Kurt Krauss, 29 67.05
350 Russell Smith, 42 67.06
351 Stephen Mastaitis, 37 67.08
352 James Gilmer, 42 67.10
353 Tony Ganey, 44 67.10
354 Kyle Smith, 40 67.11
355 Michael Crane, 31 67.11
356 Herb Fenelon, 34 67.12
357 Joseph Backowski, 36 67.15
358 Leonard Wood, 44 67.18
359 Mike O’Dunne, 48 67.19
360 Fred Reiners, 42 67.20
361 Leonard Guere, 56 67.20
362 Michael Chrisner, 29 67.21
363 Jeff Winebrenner, 27 67.22
364 Robert Toth, 49 67.22
365 Kenneth Wilkes, 47 67.23
366 Scott Newport, 27 67.24
367 Adam Hughes, 23 67.25
368 Rick Mulvey, 33 67.28
369 Allan Burke, 33 67.29
370 Dennis Englert, 53 67.29
371 Thomas Howley, 18 67.30
372 Al Lainhart, 38 67.30
373 Andrew Dougherty, 37 67.31
374 Nick Solomos, 49 67.31
375 Anthony Insogna, 46 67.32
376 Clay Quinn, 48 67.34
377 Steve Aceti, 35 67.34
378 Michael Strenk, 30 67.34
379 Bob Hennig, 66 67.36
380 John Privitera, 39 67.37
381 Glenn Yelich, 33 67.39
382 Fred Dimmick, 34 67.39
383 Larry Smith, 41 67.45
384 Timothy Eldred, 30 67.50
385 James Werthmuller, 48 67.52
386 John Shrader, 45 67.53
387 Ross McCabe, 47 67.53
388 Thomas Hefferon, 44 67.57
389 Brian Mullen, 32 67.57
390 Patrick Carrese, 27 67.57
391 Richard Rocco, 43 67.58
392 Jonathan Peace, 37 67.59
393 Patrick Higgins, 32 68.00
394 William Radley, 32 68.00
395 Thomas Adams, 47 68.03
396 Mark Batty, 37 68.03
397 William Lee, 23 68.07
398 Gerry Morris, 29 68.12
399 Michael Doyle, 40 68.14
400 John Newell Jr., 39 68.16
401 Douglas Lentivech, 34 68.16
402 Jerry Smith, 44 68.23
403 Michael Gies, 43 68.23
404 J. Langdon Marsh, 50 68.24
405 Charles Stearns, 28 68.24
406 Rich Sampson, 27 68.25
407 Douglas Phillips, 45 68.25
408 Michael Maguire, 36 68.26
409 Joseph Natalie, 35 68.28
410 Frank Schultz, 53 68.32
411 James Hagan, 32 68.32
412 Rick Bolton, 40 68.36
413 Craig Osgood, 41 68.42
414 William Wynne, 32 68.43
415 Sam Serrill, 46 68.44
416 Gary Colton, 40 68.45
417 Sel Harlow, 37 68.47
418 Mike Caccuitto, 48 68.47
419 Edward Doucette, 61 68.48
420 Richard Malaczynski, 38 68.54
421 Tom Gilmartin, 46 69.00
422 Prashant Singh, 25 69
423 Harold Eisenstein, 35 69
424 Tom McGuire, 40 69
425 Jack Newlove, 42 69
426 Edward Brown, 50 69
427 Kent Cueman, 44 69
428 Robert Knouse, 52 69
429 Raymond Held, 52 69
430 Richard Homenick, 55 69
431 James McKinney, 16 69
432 Johm Haggerty, 32 69
433 William Shaw, 31 69
434 Bill Fitzgerald, 31 69
435 Michael Roccio, 40 69
436 Neil Hannon, 43 69
437 Jayson Crair, 42 69
438 Charles Trimarchi, 45 69
439 Robert Barnell, 38 69
440 Robert Brink, 47 69
441 Fred Gates, 41 69
442 Alexander Powhida, 18 69
443 Kevin Barrett, 34 69
444 Edward Tetrault, 39 69
445 Michael McKinley, 40 69
446 Michael Mayville, 31 69
447 Jeff Curtis, 31 69
448 Erik Strait, 12 69
449 Nathaniel White, 72 70
450 Doug Conlan, 42 70
451 John Feyrer, 41 70
452 Tom Geyer, 43 70
453 Edward Swanson, 42 70
454 Russell Stone, 28 70
455 David Chrapowitzky, 44 70
456 Gerard Dollar, 38 70
457 Dennis McGhan, 39 70
458 Kevin Kralovic, 41 70
459 John Bledsoe, 40 70.
460 Mark Vitallo, 36 70.
461 Douglas Fox, 47 70.
462 Marc Pascetta, 24 70.
463 Don McCabe, 50 70.43
464 Robert Crafts, 51 70.43
465 Jesse Dinkin, 44 70.46
466 John Thomson, 52 70.47
467 Stephen Leonardo, 37 70.48
468 Bruce Connolly, 40 70.51
469 Robert Mendoza, 40 70.53
470 Anthony Baggetta, 35 70.53
471 Joseph Thorne Sr., 42 70.54
472 Randall Down, 25 70.57
473 Dennis White, 39 70.57
474 Rocco Montesano Jr., 39 70.58
475 George Davidson, 44 71.00
476 Andrew Janik, 47 71.01
477 Richard Blanchard, 47 71.01
478 Bruce Heap, 41 71.09
479 Andris Staklis, 52 71.10
480 Ken Webster, 36 71.11
481 Richard Watson, 15 71.13
482 Steven Cummings, 26 71.16
483 Douglas Sayles, 42 71.24
484 David Fields, 22 71.33
485 Arthur Siegal, 36 71.38
486 Kevin Tuffey, 42 71.39
487 Thomas Cuevas, 46 71.40
488 Tim Giles, 52 71.42
489 Bill Osterhout, 55 71.43
490 Angelo Torone, 33 71.44
491 Colonel Dickens, 41 71.46
492 Jason Santarcangelo, 15 71.51
493 Timothy Beardsley, 29 71.53
494 William Bechtel, 46 71.54
495 Jerry FiField. 27 71.54
496 James Lombardo, 37 71.54
497 Mike Churchill, 35 71.57
498 James Summa, 36 72.00
499 Mike Huff, 35 72.09
500 Robert Beatrice, 50 72.10
501 Ed Buhrmaster, 34 72.11
502 Christopher Gorka, 31 72.15
503 James Suriano, 54 72.17
504 John Vavasour, 42 72.19
505 James Allen, 41 72.20
506 Richard Dixon, 45 72.21
507 Michael Smith, 55 72.24
508 Bob Wells, 43 72.26
509 George Kolesar, 47 72.29
510 James Breitinger, 45 72.29
511 Timothy O’Connor, 33 72.29
512 Richard Daley, 41 72.30
513 Michael Parks, 29 72.30
514 Bob Covey, 42 72.31
515 David Cross, 45 72.31
516 George Ferro, 37 72.32
517 Larry Pohl, 40 72.32
518 Claude Wager, 38 72.33
519 Don Snell, 61 72.33
520 John Lisi, 39 72.39
521 Ed Salvo Jr., 46 72.45
522 Edward Sawicz, 47 72.47
523 Rick Eaglestone, 38 72.48
524 Kevin Barney, 16 72.49
525 Bruce Vrooman, 54 72.52
526 Kevin White, 35 72.57
527 Neil Weber, 27 72.57
528 Robert DeMarco, 40 72.59
529 David Oakes, 15 73.00
530 William Keller, 36 73.02
531 Alex Brockmann, 23 73.05
532 Wayne Harrison, 38 73.08
533 David Williams, 22 73.08
534 Stephen McLoughlin, 31 73.16
535 Paul Goldman, 33 73.17
536 Jerry Godin, 35 73.21
537 Roger Hamm, 44 73.21
538 Robert Swayiie, 46 73.22
539 Wayne DeYoe, 49 73.23
540 Michael Norton, 40 73.24
541 Leslie Hull, 47 73.24
542 Mark Keegan, 42 73.25
543 George Peck, 48 73.26
544 John Connolly, 35 73.27
545 John Leonard, 35 73.29
546 Phil Young, 41 73.29
547 Carl Cording, 42 73.30
548 Mark Hoffmann, 30 73.35
549 Eugene Dobies, 39 73.44
550 David Gonzalez, 35 73.46
551 Tim Leonard, 42 73.51
552 Peter llolmberg, 38 73.52
553 Ray Scaringe, 28 73.54
554 Mike Smiles, 31 73.55
555 Edward Graham, 36 73.57
556 Richard Brody, 46 73.57
557 Parker Race, 33 73.58
558 Sidney Anderson, 34 73.59
559 Jack Minehan, 37 74.01
560 John Lane, 53 74.09
561 Bob Winchester, 65 74.10
562 Stephen McAlpine, 30 74.13
563 Richard Martin, 44 74.14
564 Bernard Juber, 24 74.15
565 Ronald Spencer, 32 74.16
566 Donald Morere, 41 74.21
567 William Myers, 41 74.21
568 Randall Lucia, 35 74.24
569 Art Edelstein, 44 74.25
570 Robert Werthmuller, 54 74.27
571 Bernard Schunicht, 52 74.29
572 Richard Farrell, 45 74.40
573 James Mindel, 44 74.42
574 Michael Colvin, 36 74.44
575 Dan Colcino, 40 74.47
576 Mark Blanke, 36 74.48
577 Stephen Jones, 37 74.51
578 Dick Adler, 51 74.51
579 Patrick Foti, 56 74.52
580 Miles Borden, 64 74.53
581 John Chenette, 47 74.56
582 Stephen Peer, 32 74.56
583 Kenneth Sadlemire, 25 74.57
584 Mark Aronowitz, 48 74.58
585 Alan Via, 43 74.58
586 William Ippoliti, 27 75.08
587 Wayne Lewis, 39 75.10
588 John Wilson, 42 75.11
589 James Ferro, 31 75.13
590 Stephen Spillane, 35 75.14
591 John Anthony, 35 75.15
592 Fred Monaco, 39 75.19
593 Ron Peacock, 39 75.27
594 Paul Coville, 42 75.30
595 Martin Berry, 32 75.30
596 John Murray, 46 75.31
597 Mickey Mahoney, 34 75.32
598 Richard Patterson, 44 75.33
599 Paul Mason, 28 75.34
600 Bob Gottheim, 40 75.38
601 Dick Bailey, 50 75.39
602 Doug Wolfe, 45 75.41
603 Douglas Hoyt, 59 75.43
604 G.L. Brady, 40 75.44
605 Ronald Fazio, 38 75.44
606 Kevin Conway, 35 75.49
607 Stephen Signore, 28 75.56
608 David Zysk, 28 75.59
609 Ronald Baker, 50 76.02
610 Richard Baertsch, 55 76.03
611 Frank Tofani, 35 76.04
612 Thomas Vandish, 37 76.11
613 Mark Pasko, 39 76.14
614 Sylvain Nagler, 53 76.17
615 PAtrick Mahoney, 51 76.20
616 James Riccardi, 46 76.21
617 Marc Misericordia, 42 76.21
618 Ralph Richter, 38 76.23
619 Garry Beale, 44 76.31
620 Kevin Russell, 36 76.38
621 Charlie Matlock, 46 76.38
622 Dan Herrick, 43 76.42
623 Joseph Muia, 37 76.43
624 David Cern, 38 76.44
625 Ken Brown, 42 76.44
626 Michael Christensen, 16 76.45
627 Michael Gelfand, 51 76.45
628 Kevin Fogarty, 29 76.47
629 C. William Austin, 50 76.49
630 Michael Radlick, 44 76.50
631 Jim Hyland, 34 76.51
632 Richard McCall, 33 76.52
633 Kenneth Gold, 38 76.53
634 James Andrew Sluiter, 16 76.54
635 Bruce Delaney, 31 77.03
636 John Purtell, Jr., 38 77.05
637 David Guerriero, 14 77.09
638 Art Cotugno, 36 77.10
639 Jack Alexander, 45 77.15
640 Jeff Berman, 46 77.18
641 Les Grimmell, 54 77.19
642 Richard Windle, 45 77.22
643 Robert Moriale, 43 77.24
644 Jack Kampf, 54 77.24
645 Jim Sullivan, 31 77.25
646 Fredric Schmeelk, 21 77.26
647 Charlie Freer, 54 77.27
648 Stuart Lipschutz, 53 77.28
649 Kenneth Orner, 61 77.36
650 Earl Costello, 44 77.37
651 Michael Bartholomew, 67 77.39
652 Peter Dallas, 37 77.40
653 Francis Yeager, 45 77.41
654 Gordon Wesley, 37 77.41
655 Michael Patterson, 40 77.46
656 Chuck Jensen, 55 77.53
657 Joseph DeChiro, 24 78.00
658 Jim Peterson, 34 78.01
659 William Albers, 60 78.02
660 Anthony Falvo, 50 78.04
661 Michael Novak, 52 78.10
662 Charles Camp, 41 78.11
663 Richard Hakanson, 44 78.12
664 Michael Reichard, 34 78.13
665 William Kemp, 45 78.16
666 Herman Okhuysen, 44 78.20
667 Ken Scott, 36 78.24
668 James Traynor, 60 78.30
669 Hunter Currin, 53 78.31
670 Rick Zahnleuter, 35 78.33
671 Lawrence Kustyn, 35 78.50
672 Kenneth LeGere, 45 78.53
673 Richard Correa, 43 78.57
674 Larry Young, 43 79.00
675 Mike Piatek, 44 79.10
676 David Rosenbium, 49 79.20
677 Al Griffin, 39 79.31
678 Walt Golden, 40 79.33
679 Gregory Frye, 41 79.42
680 Gregory Yankosky, 38 79.50
681 John Resue, 37 79.55
682 Jeffrey Yeaw, 36 79.56
683 Martin Wells, 49 80.00
684 Benjamin Williams, 42 80.05
685 Todd Brilliant, 24 80.07
686 John Leggieri, 29 80.10
687 Joseph Bouck, 29 80.13
688 Gabriel Holmes, 17 80.17
689 Hal Dawson, 54 80.29
690 Kevin McDonnell, 26 80.32
691 David Antenucci, 31 80.34
692 George Probert, 48 80.40
693 Henry Grishman, 46 80.43
694 Richard Johnson, 46 80.44
695 William Trela, 37 80.46
696 David Houlihan, 36 80.51
697 Scott Gollop, 35 80.57
698 Lawrence Turski, 37 81.10
699 Jack Conroy, 44 81.13
700 Fred Haag, 60 81.15
701 Jason Springer, 18 81.17
702 Noel Couture, 42 81.18
703 Philip Folmsbee, 56 81.26
704 Steve Addeo, 43 81.27
705 John Dowling, 43 81.27
706 Bryan Wojcik, 38 81.28
707 John Scarchilli, 40 81.41
708 Dennis Simmons, 46 81.42
709 Michael Silver, 25 81.48
710 Michael Wood Sr., 41 81.49
711 Dan Geer, 72 81.52
712 Arthur Micare, 51 81.59
713 Stephen Anchukaitis, 43 82.12
714 James Maney, 33 82.15
715 Richard Cromer, 58 82.15
716 Nat Stoddard, 46 82.21
717 Richard Holt, 48 82.26
718 Bob Clark, 45 82.29
719 Norman Dascher, 37 82.31
720 John Maney, 29 82.33
721 William Scheeley, 43 82.35
722 John DellaRocco, 30 82.39
723 Robert Béébe, 47 82.41
724 Frank Noonan, 31 82.45
725 Lawrence Dana. 49 82.48
726 Mark Calhoun, 40 82
727 Jim Read, 40 82
728 Bert Soltysiak, 60 82
729 James Lindblade, 56 83
730 Jerry Acker, 42 83
731 Wayne VanSaun, 41 83
732 Ray Cecot, 43 83
733 Michael Foster, 46 83
734 Jay Cunningham, 40 83
735 Michael Santarcangelo, 39 83
736 David Marchetti, 31 83
737 Ned Norton, 59 83
738 Donald Gallagher, 48 83
739 Rowland Evans, 45 83
740 Otto Gerstenberger, 62 83
741 Gary Whitaker, 38 83
742 Gardner Becker, 55 83
743 William Wallace, 43 83
744 Sean Robbins, 41 84
745 Steven Greenstein, 40 84
746 James Ronesi, 45 84
747 Robert Reedy, 45 84.
748 Peter Szendro, 37 84.
749 Richard Dinn, 54 84.
750 James Gibney, 70 84
751 James Eignor, 44 84
752 John Haher, 51 85.
753 Bernard Ettinger, 64 85.
754 Michael Cuddy, 51 85.
755 William Nash, 43 85.
756 Steven Valle, 36 85.
757 Stephen Maxim, 38 85.
758 Robert Schnell, 59 85.
759 John Baideme, 42 85.
760 Michael Bibbo, 42 86.
761 Tom Collins, 47 86.
762 Mike Collins, 21 86.
763 John Butnor, 45 86.
764 Hugh MacNiven, 35 87.
765 David Denzer, 65 87.
766 Carl Hanlin, 34 87.
767 Dean Mauro, 37 87.
768 Spencer Warnick, 62 87.33
769 Phil Adikes, 28 87.36
770 Michael Ayotte, 34 87.38
771 Bernard Guy Ettinger, 44 87.43
