,place,last_name,first_name,age,time,race_id
0,1,BROWN,BARRY,1,45:23.1,1
1,2,CHERUBINO,CARLO,1,46:56.9,1
2,3,COUGHLIN,RICH,2,47:05.5,1
3,4,DAVID,KARL,2,47:49.7,1
4,5,FREDERICK,LARRY,3,47:54.8,1
5,6,POLLOCK,LEE,3,48:04.4,1
6,7,DOUGLAS,BILL,4,48:08.2,1
7,8,SULLIVAN,MARK,5,48:48.8,1
8,9,MINDEL,MARK,6,48:55.0,1
9,10,RUST,AL,7,49:06.7,1
10,11,BIEGANSKI,CHESTER,8,49:22.3,1
11,12,NORRIS,DAVE,8,49:25.0,1
12,13,TOURGE,JERRY,9,49:28.8,1
13,14,NABOZNY,JACK,10,49:47.3,1
14,15,GEORGE,GUY,11,49:53.6,1
15,16,DILMORE,GARY,12,50:08.9,1
16,17,BOYER,BRIAN,13,50:20.6,1
17,18,CONTOIS,DENNIS,14,50:32.3,1
18,19,ALLEN,PAT,15,50:43.0,1
19,20,COSTIGAN,CHRIS,16,51:15.5,1
20,21,SWEENEY,PAT,17,51:22.6,1
21,22,GREENE,THOMAS,18,51:28.9,1
22,23,MCCLINTOCK,MIKE,1,51:33.0,1
23,24,TALLON,DANIEL,19,51:37.8,1
24,25,MASON,TIMOTHY,20,51:49.5,1
25,26,CANTWELL,DANIEL,21,5l:53.O,1
26,27,STEVENS,PAUL,22,51:57.8,1
27,28,PETRO,ALEC,2,52:00 4,1
28,29,URQUHART,ANDY,1,52:02.4,1
29,30,TEBO,JAMES,5,52:06 7,1
30,31,LITTRELL,ROLAND,6,52:08.8,1
31,32,LEROSE,JOHN,23,52:14.7,1
32,33,GIRODIAS,KENNETH,24,52:19.5,1
33,34,HAJJAR,PETER,3,52:22.4,1
34,35,WILCOX,LEE,2,52:29.0,1
35,36,OATS,ROBERT,25,52:55.3,1
36,37,PASQUALI,JIM,3,53:03.6,1
37,38,DOW,GLENN,5,53:04.7,1
38,39,TATRO,BRUCE,26,53:15.0,1
39,40,EDWARDS,LARS,7,53:15.5,1
40,41,RIGHTMYER,JACK,27,53:17.4,1
41,42,GARRELTS,TODD,6,53:20.6,1
42,43,FARLEY,BRUCE,28,53:26.6,1
43,44,ADAMS,NELSON,29,53:27.1,1
44,45,UZGIRIS,EGIDIJUS,8,53:28.9,1
45,46,PICOTTE,ROBERT,30,53:33.5,1
46,47,ST,JOHN KEVIN,31,53:42.6,1
47,48,DEBLASE,MICHAEL,7,53:47.3,1
48,49,HUBERT,STEVEN,32,53:56.1,1
49,50,TEAGUE,BRIAN,33,53:56.8.,1
50,51,NIMMER,RONALD,9,53:59.9,1
51,52,ROWLEY,RICK,10,54:14.7,1
52,53,COLL,BOB,34,54:15.1,1
53,54,HAUGH,CHARLES JR,11,54:24.6,1
54,55,NILLER,DOUG,35,54:26.8,1
55,86,HORAN,BOB,8,54:32.4,1
56,57,FARNUM,TIMOTHY,36,54:34.5,1
57,68,COTROFELD,JOE,9,54:36.9.,1
58,59,KIERAN,THOHAS,3,54:39.4,1
59,60,SPRIGGS,DONALD,37,54:47.3,1
60,61,CIALEK,CHRIS,38,54:49.1,1
61,62,SAMUZIS,RICHARD,39,54:50.0,1
62,63,GRUBBS,LEONARD,4,54:52.3,1
63,64,PINSONNEAULT,GIL JR,10,54:55.1,1
64,65,TOEPFER,JACK,11,54:56.1,1
65,66,BONVILLE,JOSEPH,12,54:37.1,1
66,67,MACKIE,ANGUS,12,55:00.6,1
67,68,DRAKE,BILL,5,55:02.8,1
68,69,WALLACH,JONATHAN,40,55:03.6,1
69,70,PELLETTIER,MARK,41,55:04.8,1
70,71,SHANNON,JOHN,42,55:13.5,1
71,72,MOWBRAY,DONALD,6,55:18.6,1
72,73,SURIN,MICHAEL,13,55:19.9,1
73,74,HUBERT,TIM,14,55:24.1,1
74,75,PALASREWSKI,PAUL,15,55:26.2,1
75,76,RYBINSKI,MARY,1,55:30.8,1
76,77,MONACO,GENE,13,55:38.3,1
77,78,BICK,TED,7,55:48.8,1
78,79,SCHREIBER,PHILIP,43,55:54.9,1
79,80,CHRISTMAN,RICHARD,16,55:58.0,1
80,81,BUTYNSKI,LARRY,44,55:58.9,1
81,82,STEPHENSON,JOHN,45,55:59.8,1
82,83,FORD,JOHN,46,56:00.7,1
83,84,BULGER,THOMAS,47,56:01.8,1
84,85,ASSINI,CHARLES,48,56:02.8,1
85,86,SEACORD,JOHN,14,56:04.5,1
86,87,MCFERRAN,JOSEPH,17,56:11.2,1
87,88,SHERMAN,JANES,18,56:14.7,1
88,89,CONNOLLY,CHARLES,15,56:23.5,1
89,90,MERROW,MICHAEL,19,56:28.8,1
90,91,ARMSTRONG,JAMES,49,56:31.0,1
91,92,KRANICK,ART,50,56:36.6,1
92,93,TAYLOR,JEFF,20,56:40.2,1
93,94,MAY,SUSAN,1,36:50.4,1
94,95,CARTE,GREGORY,51,37:01.3,1
95,96,EVANS,CRAIG,21,57:02.5,1
96,97,GRISET,DOUG,16,57:06.5,1
97,98,BOWLES,CHIP,17,57:07.8,1
98,99,POTTALA,TREVOR,22,57:10.4,1
99,100,MARSH,KERRY D,18,57:16.3,1
100,101,HARLOW,SEL,52,57:17.4,1
101,102,LUICK,SANDY,1,57:19.3,1
102,103,SCOTT,ANTHONY,8,57:27.3,1
103,104,KELLEY,DAVID,19,57:30.5,1
104,105,MARKYTAN,RUDY,20,57:36.7,1
105,106,CULPEPPER,JON,23,S7:39.9,1
106,107,ASSA,ABRAHAM,21,57:40.6,1
107,l08,CORRADO,TOM,22,57:51.3,1
108,109,GALLAGHER,MATTHEW,24,57:52.4,1
109,110,COLLINS,DANIEL,53,57:53.3,1
110,111,BEDY,ZOLTAN J,23,57:57.2,1
111,112,GREEN,RON,9,50:01.2,1
112,113,HUGHES,JACK,24,50:03.6,1
113,114,QUIVEY,JAMES,25,58:06.2,1
114,115,WEGLARZ,ELLEN,2,58:07.3,1
115,116,BERNER,BLAINE,54,56:09.8,1
116,117,DELAROCHA,MICHAEL,26,58:11.6,1
117,118,CASHIN,MICHAEL,55,59:14.0,1
118,119,WILDER,ERNEST,56,58:15.0,1
119,120,MORRISON,BRUCE,25,58:21.2,1
120,121,COLLINS,BILL,26,58:22.9,1
121,122,MALIA,STEPHEN,57,58:29.6,1
122,123,CROLL,ALLAN,27,58:32.9,1
123,124,LOUCKS,E JOHN,1,58:36.1.,1
124,125,HAMILTON,GORDY,58,58:39.0,1
125,126,COLE,JEFFREY R,59,58:43.7,1
126,127,DONALD,ORLAND E,60,58:46.0,1
127,128,SERBENT,PAUL,27,58:47.1.,1
128,129,CONSTANTINE,THOMAS,61,58:51.3,1
129,130,SPAIN,FRANK,63,58:58.9,1
130,131,MAPES,FRED,28,59:01.0,1
131,132,KRISTEL,WAYNE,10,59:02.8,1
132,133,KEEGAN,TIMOTHY,63,59:05.5,1
133,134,FREDERICK,DEAN,11,59:08.2.,1
134,135,ASBORNSON,JON,28,59:09.2,1
135,136,KAMPF,EDWARD,29,59:15.4,1
136,137,KALLIO,GREG,64,59:17.2,1
137,i38,DOW,NEAL,29,59:24.8.,1
138,139,CARLSON,JAMES,30,59:25.6,1
139,140,NEWKIRK,RAYMOND,31,59:26.9,1
140,141,0ICER80,JOHN,30,59:31.3,1
141,142,ALEXANDER,ROBERT,32,59:31.7,1
142,143,BOPP,LAWRENCE,33,59:32.0,1
143,144,PARR,BRIAN,65,59:40.3,1
144,145,EDWARDS,JIM,2,"59:41,8",1
145,146,VITALLO,MARK,66,59:50.2,1
146,147,FRENCH,DAN,34,59:51.7,1
147,148,MCTAGUE,MICHAEL,31,39:53.8,1
148,149,MALONE,JOE,35,59:56.6,1
149,I59,DIGIULIO,VINCENT,36,60:02.0,1
150,151,WOOD,BRYANT,12,60:02.3,1
151,152,MORRISON,LARRY,37,60:03.8,1
152,153,MAYFIELD,MARK,67,60:03.6,1
153,154,DECRISTOFARO,JOSEPH,68,60:08.0,1
154,155,BARRETT,KEVIN,69,60:08.4,1
155,156,SCHOONMAKER,BARRY,32,60:08.9,1
156,157,MOTT,PETE,33,60:10.9,1
157,158,MEALY,RICHARD,35,60:13.1,1
158,159,MCHALE,FRANCIS,38,60:14.3,1
159,160,ADLER,DICK,13,80:20.5,1
160,161,MILLER,THOHAS H,39,60:25.2,1
161,162,STEWART,ROBERT,70,60:27.7,1
162,163,MYERS,FRANK,40,60:28.3,1
163,164,MALIN,PAIGE,35,60:30.9,1
164,165,MORRIS,RONALD,71,60:36.6,1
165,166,WELCOME,JIM,36,60:39.0,1
166,167,MASON,MARK,72,60:42.4,1
167,168,COLLINS,JOE,37,80:45.1,1
168,169,DIXON,WILLIAM,14,60:50.2,1
169,170,BRADLEY,JOHN,41,60:55.5,1
170,171,DECKER,LARRY,15,60:55.8,1
171,172,DALEY,RICHARD,42,60:57.3,1
172,173,DESCOTEAU,MAC,43,60:57.6,1
173,174,LEE,CHARLES,16,60:58.1,1
174,175,DWYER,MARGARET,2,60:58.6,1
175,176,POOLE,CARL,44,60:59.6,1
176,177,HOBBS,STAN,45,61:14.9,1
177,178,HEITKAMP,GLEN,38,61:14.9,1
178,179,BURIAN,LEE,39,61:19.6,1
179,180,WHITTAM,CHESTER,73,61:26.0,1
180,181,THACKERAY,JAHES,74,61:29.2,1
181,182,BURKE,MARTIN,75,61:29.8,1
182,183,BURIAN,WAYNE,17,61:30.8,1
183,184,MOONEY,CHARLES,76,61:31.5,1
184,185,WEST,RON,77,61:34.9,1
185,186,MORONEY,JOHH,18,61:37.3,1
186,187,VERNI,HARRY,78,61:40.6,1
187,188,MCCONNELL,MALCOLM,19,61:42.7,1
188,189,PETREAUIN,SCOTT,79,61:46.7,1
189,190,PARILLO,RORERT,20,61:51.4,1
190,191,CURREN,DAVID,80,61:53.3,1
191,192,GORHAM,BILL,46,61:57.4,1
192,193,HILL,GERALD,47,62:00.0,1
193,194,EATON,RICHARD,40,62:02.2,1
194,195,WHITE,MARY ANN,3,62:05.3,1
195,196,WILCOX,JULIE,4,62:06.1,1
196,197,HAYES,CLIFFORD,21,62:08.6,1
197,198,SMITH,JAMES,41,62:11.4,1
198,199,BRADY,THOMAS,48,62:15.6,1
199,200,COOLEY,ROBERT,49,62:16.9,1
200,201,KIEFT,GARY,50,62:18.4,1
201,202,HINRICHSEN,ERIC,3,62:20.3,1
202,203,CURRAN,CAROLINE,3,62:23.1,1
203,204,ALLEN,DOUGLAS,22,62:23.6,1
204,205,NICHOLS,MICHAEL,51,62:25.8,1
205,206,MAHONEY,KEVIN,42,62:26.2,1
206,207,TODOROY,THEODORE,81,62:30.3,1
207,208,RUEDE,KEITH,82,62:31.3,1
208,209,VINCENT,DONALD,23,62:32.2,1
209,210,BURNS,DENIS,24,62:32.5,1
210,211,PILLSWORTH,PHIL,25,62:32.6,1
211,212,BLANDY,TED,83,62:40.8,1
212,213,NEWKIRK,PETER,52,62:41.2,1
213,214,KOBLENZER,ALLAN,26,62:42.5,1
214,215,WEBER,DENIS,84,62:44.7,1
215,216,BURNS,LAURENCE,27,62:45.1,1
216,217,STEADMAN,HANK,53,62:47.8,1
217,218,CAMILLO,JOSEPH,26,62:48.5,1
218,219,MORRIS,WILLIAM,29,62:49.6,1
219,220,MCCARTHY,MICHAEL,30,62:52.2,1
220,221,DAVID,JOHN,43,62:53.7,1
221,222,FARMER,CHRIS,44,62:54.4,1
222,223,RICKARD,PAUL,54,62:54.8,1
223,224,EATON,WALTER,55,62:55.3,1
224,225,WOOD,JACK,56,63:00.8,1
225,226,KIEFT,ROD,57,63:04.8,1
226,227,PHIBBS,SANDY,4,63:05.2,1
227,228,FORNERIS,LARRY,31,63:07.0,1
228,229,KEEGAN,MARK,58,63:07.4,1
229,230,DONAVAN,SUZY,1,63:07.7,1
230,231,MASON,COLLEEN,5,63:09.4,1
231,232,GEMASI,FRANK,59,63:11.0,1
232,233,OCONNOR,WILLIAM,60,63:11.3,1
233,234,NEILES,EDWARD,61,63:21.3,1
234,235,REALI,ROBERT,62,63:22.7,1
235,236,BOHLING,SCOTT,35,63:23.4,1
236,237,FLINT,DOUGLAS,45,63:24.4,1
237,238,WELCOME,JOSEPH,46,63:24.7,1
238,239,POND,BILL,32,63:28.1,1
239,240,WILLIAMS,PETER,86,63:29.7,1
240,241,VALENTI,MARK,87,63:32.4,1
241,242,ENGLERT,DENNIS,33,63:32.9,1
242,243,MARSH,MICHAEL,63,63:33.6,1
243,244,BAUSTIN,ALLAN...,88,63:33.9,1
244,245,NICHOLS,EUGENE,64,63:35.2,1
245,246,SCHIMPF,OLIVER,34,63:35.7,1
246,247,PHILLIPS,SCOTT,47,63:38.9,1
247,248,MOAK,ROBERT JR,89,63:45.6,1
248,249,TRIPLETT,MICHAEL,65,63:46.5,1
249,250,IRETON,SEAN,40,63:48.1.,1
250,251,VICKERS,LARRY,66,63:49.6,1
251,252,STOCKMANN,WADE,35,63:55.6,1
252,253,GIGNAC,FRED,67,63:57.7,1
253,254,SIGNORELLI,PETER,36,63:58.1,1
254,255,RICHMAN,JOHN,68,63:59.5,1
255,256,COUTANT,CRAIG,49,63:59.9,1
256,257,PARSONS,LANNY,69,64:01.3,1
257,258,CARBONE,MARTIN,70,64:02.7,1
258,259,HAPKNESS,HEATHER,6,64:03.3,1
259,260,WALTON,ERNEST,71,64:04.3,1
260,261,LINKINHOKER,JEFF,50,64:04.9,1
261,262,RABBITT,BILL,72,64:05.4,1
262,263,CIALEK,GRACE,5,64:05.7,1
263,264,REYN0LD8-AHEARN,KC,2,64:09.9,1
264,265,CONNOLLY,BRUCE,90,64:09.9,1
265,266,PUSATERE,THOMAS,73,64:12 9,1
266,267,MYERS,DIANE,3,64:16.2,1
267,268,LANE,JOHN,91,64:18.8,1
268,269,BEEBE,ROBERT,74,64:20.7,1
269,270,PARVIS,REED,37,64:22.8,1
270,271,JOHNSON,KEITH,75,64:25.3,1
271,272,LELAND,LYNN,4,64:28.3,1
272,273,KING,RICHARD,76,64:27.8,1
273,274,MCFARlAND,BOB,38,64:28.8,1
274,275,HAMM,ROGER,77,64:29.2,1
275,276,LUCAS,BRENT A,78,64:29.8,1
276,277,DILLON,PAUL W,39,64:32.1,1
277,278,LEBROU,JOSEPH,4O,64:33.6.,1
278,279,MULLIN,JIM,41,64:34.S,1
279,280,BUHRMASTER,JOHN,51,64:35.7,1
280,281,FRAZIER,JIM,42,64:36.1,1
281,282,WALLENS,BILL,79,64:59.8,1
282,283,LERMANN,DOUG,52,64:39.5,1
283,284,TERRYBERRY,ALAN,43,64:42.1,1
284,285,KEMP,WILLIAM,80,64:42.4,1
285,286,COHEN,SUSAN,5,64:42.9,1
286,287,BURNS,JOHN,81,64:47.8,1
287,288,CLETMER,PAUL,92,64:49.8,1
288,289,PEACOCK,GEOR6E,82,64:50.2,1
289,290,MUMEMANSKY,DAVID,93,64:51.2,1
290,291,MURPHY,THOHAS,44,64:53.2,1
291,292,CHARRON,MARC,83,64:54.1,1
292,293,KEMP,NEIL,45,64:58.3,1
293,294,COWIE,PETE,84,64:59.9,1
294,295,VACCA,WILLIAM,85,65:00.7,1
295,296,NOLAN,MARY ANN,7,65:03.2,1
296,297,HEATON,PHYLLIS,1,65:09.9,1
297,298,CASHIN,CHRISTINE,6,65:18.6,1
298,299,CONCORDIA,DAVID,86,65:17.9,1
299,300,MCCABE,DON,87,65:22.2,1
300,301,SPRINGER,DENNIS,94,65:24.0,1
